# step       rmse_trn    rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  55000      1.22e-04      1.22e-04    1.8e-06
  55100      1.21e-04      1.21e-04    1.8e-06
  55200      1.21e-04      1.21e-04    1.8e-06
  55300      1.21e-04      1.21e-04    1.8e-06
  55400      1.21e-04      1.21e-04    1.8e-06
  55500      1.21e-04      1.21e-04    1.8e-06
  55600      1.21e-04      1.21e-04    1.8e-06
  55700      1.21e-04      1.21e-04    1.8e-06
  55800      1.21e-04      1.21e-04    1.8e-06
  55900      1.21e-04      1.21e-04    1.8e-06
  56000      1.21e-04      1.21e-04    1.8e-06
  56100      1.21e-04      1.21e-04    1.8e-06
  56200      1.21e-04      1.21e-04    1.8e-06
  56300      1.21e-04      1.21e-04    1.8e-06
  56400      1.21e-04      1.21e-04    1.8e-06
  56500      1.21e-04      1.21e-04    1.8e-06
  56600      1.21e-04      1.21e-04    1.8e-06
  56700      1.21e-04      1.21e-04    1.8e-06
  56800      1.21e-04      1.21e-04    1.8e-06
  56900      1.21e-04      1.21e-04    1.8e-06
  57000      1.21e-04      1.21e-04    1.8e-06
  57100      1.21e-04      1.21e-04    1.8e-06
  57200      1.21e-04      1.21e-04    1.8e-06
  57300      1.21e-04      1.21e-04    1.8e-06
  57400      1.21e-04      1.21e-04    1.8e-06
  57500      1.21e-04      1.21e-04    1.8e-06
  57600      1.21e-04      1.21e-04    1.8e-06
  57700      1.21e-04      1.21e-04    1.8e-06
  57800      1.21e-04      1.21e-04    1.8e-06
  57900      1.21e-04      1.21e-04    1.8e-06
  58000      1.21e-04      1.21e-04    1.8e-06
  58100      1.21e-04      1.21e-04    1.8e-06
  58200      1.21e-04      1.21e-04    1.8e-06
  58300      1.21e-04      1.21e-04    1.8e-06
  58400      1.21e-04      1.21e-04    1.8e-06
  58500      1.21e-04      1.21e-04    1.8e-06
  58600      1.21e-04      1.21e-04    1.8e-06
  58700      1.21e-04      1.21e-04    1.8e-06
  58800      1.21e-04      1.21e-04    1.8e-06
  58900      1.21e-04      1.21e-04    1.8e-06
  59000      1.21e-04      1.21e-04    1.8e-06
  59100      1.21e-04      1.21e-04    1.8e-06
  59200      1.21e-04      1.21e-04    1.8e-06
  59300      1.21e-04      1.21e-04    1.8e-06
  59400      1.21e-04      1.21e-04    1.8e-06
  59500      1.21e-04      1.21e-04    1.8e-06
  59600      1.21e-04      1.21e-04    1.8e-06
  59700      1.21e-04      1.21e-04    1.8e-06
  59800      1.21e-04      1.21e-04    1.8e-06
  59900      1.21e-04      1.21e-04    1.8e-06
  60000      1.21e-04      1.21e-04    1.0e-06
  60100      1.21e-04      1.21e-04    1.0e-06
  60200      1.21e-04      1.21e-04    1.0e-06
  60300      1.21e-04      1.21e-04    1.0e-06
  60400      1.21e-04      1.21e-04    1.0e-06
  60500      1.21e-04      1.21e-04    1.0e-06
  60600      1.21e-04      1.21e-04    1.0e-06
  60700      1.21e-04      1.21e-04    1.0e-06
  60800      1.21e-04      1.21e-04    1.0e-06
  60900      1.21e-04      1.21e-04    1.0e-06
  61000      1.21e-04      1.21e-04    1.0e-06
  61100      1.21e-04      1.21e-04    1.0e-06
  61200      1.21e-04      1.21e-04    1.0e-06
  61300      1.21e-04      1.21e-04    1.0e-06
  61400      1.21e-04      1.21e-04    1.0e-06
  61500      1.21e-04      1.21e-04    1.0e-06
  61600      1.21e-04      1.21e-04    1.0e-06
  61700      1.21e-04      1.21e-04    1.0e-06
  61800      1.21e-04      1.21e-04    1.0e-06
  61900      1.21e-04      1.21e-04    1.0e-06
  62000      1.21e-04      1.21e-04    1.0e-06
  62100      1.21e-04      1.21e-04    1.0e-06
  62200      1.21e-04      1.21e-04    1.0e-06
  62300      1.21e-04      1.21e-04    1.0e-06
  62400      1.21e-04      1.21e-04    1.0e-06
  62500      1.21e-04      1.21e-04    1.0e-06
  62600      1.21e-04      1.21e-04    1.0e-06
  62700      1.21e-04      1.21e-04    1.0e-06
  62800      1.21e-04      1.21e-04    1.0e-06
  62900      1.21e-04      1.21e-04    1.0e-06
  63000      1.21e-04      1.21e-04    1.0e-06
  63100      1.21e-04      1.21e-04    1.0e-06
  63200      1.21e-04      1.21e-04    1.0e-06
  63300      1.21e-04      1.21e-04    1.0e-06
  63400      1.21e-04      1.21e-04    1.0e-06
  63500      1.21e-04      1.21e-04    1.0e-06
  63600      1.21e-04      1.21e-04    1.0e-06
  63700      1.21e-04      1.21e-04    1.0e-06
  63800      1.21e-04      1.21e-04    1.0e-06
  63900      1.21e-04      1.21e-04    1.0e-06
  64000      1.21e-04      1.21e-04    1.0e-06
  64100      1.21e-04      1.21e-04    1.0e-06
  64200      1.21e-04      1.21e-04    1.0e-06
  64300      1.21e-04      1.21e-04    1.0e-06
  64400      1.21e-04      1.21e-04    1.0e-06
  64500      1.21e-04      1.21e-04    1.0e-06
  64600      1.21e-04      1.21e-04    1.0e-06
  64700      1.21e-04      1.21e-04    1.0e-06
  64800      1.21e-04      1.21e-04    1.0e-06
  64900      1.21e-04      1.21e-04    1.0e-06
  65000      1.21e-04      1.21e-04    5.6e-07
  65100      1.21e-04      1.21e-04    5.6e-07
  65200      1.21e-04      1.21e-04    5.6e-07
  65300      1.21e-04      1.21e-04    5.6e-07
  65400      1.21e-04      1.21e-04    5.6e-07
  65500      1.21e-04      1.21e-04    5.6e-07
  65600      1.21e-04      1.21e-04    5.6e-07
  65700      1.21e-04      1.21e-04    5.6e-07
  65800      1.21e-04      1.21e-04    5.6e-07
  65900      1.21e-04      1.21e-04    5.6e-07
  66000      1.21e-04      1.21e-04    5.6e-07
  66100      1.21e-04      1.21e-04    5.6e-07
  66200      1.21e-04      1.21e-04    5.6e-07
  66300      1.21e-04      1.21e-04    5.6e-07
  66400      1.21e-04      1.21e-04    5.6e-07
  66500      1.21e-04      1.21e-04    5.6e-07
  66600      1.21e-04      1.21e-04    5.6e-07
  66700      1.21e-04      1.21e-04    5.6e-07
  66800      1.21e-04      1.21e-04    5.6e-07
  66900      1.21e-04      1.21e-04    5.6e-07
  67000      1.21e-04      1.21e-04    5.6e-07
  67100      1.21e-04      1.21e-04    5.6e-07
  67200      1.21e-04      1.21e-04    5.6e-07
  67300      1.21e-04      1.21e-04    5.6e-07
  67400      1.21e-04      1.21e-04    5.6e-07
  67500      1.21e-04      1.21e-04    5.6e-07
  67600      1.21e-04      1.21e-04    5.6e-07
  67700      1.21e-04      1.21e-04    5.6e-07
  67800      1.21e-04      1.21e-04    5.6e-07
  67900      1.21e-04      1.21e-04    5.6e-07
  68000      1.21e-04      1.21e-04    5.6e-07
  68100      1.21e-04      1.21e-04    5.6e-07
  68200      1.21e-04      1.21e-04    5.6e-07
  68300      1.21e-04      1.21e-04    5.6e-07
  68400      1.21e-04      1.21e-04    5.6e-07
  68500      1.21e-04      1.21e-04    5.6e-07
  68600      1.21e-04      1.21e-04    5.6e-07
  68700      1.21e-04      1.21e-04    5.6e-07
  68800      1.21e-04      1.21e-04    5.6e-07
  68900      1.21e-04      1.21e-04    5.6e-07
  69000      1.21e-04      1.21e-04    5.6e-07
  69100      1.21e-04      1.21e-04    5.6e-07
  69200      1.21e-04      1.21e-04    5.6e-07
  69300      1.21e-04      1.21e-04    5.6e-07
  69400      1.21e-04      1.21e-04    5.6e-07
  69500      1.21e-04      1.21e-04    5.6e-07
  69600      1.21e-04      1.21e-04    5.6e-07
  69700      1.21e-04      1.21e-04    5.6e-07
  69800      1.21e-04      1.21e-04    5.6e-07
  69900      1.21e-04      1.21e-04    5.6e-07
  70000      1.21e-04      1.21e-04    3.2e-07
  70100      1.21e-04      1.21e-04    3.2e-07
  70200      1.21e-04      1.21e-04    3.2e-07
  70300      1.21e-04      1.21e-04    3.2e-07
  70400      1.21e-04      1.21e-04    3.2e-07
  70500      1.21e-04      1.21e-04    3.2e-07
  70600      1.21e-04      1.21e-04    3.2e-07
  70700      1.21e-04      1.21e-04    3.2e-07
  70800      1.21e-04      1.21e-04    3.2e-07
  70900      1.21e-04      1.21e-04    3.2e-07
  71000      1.21e-04      1.21e-04    3.2e-07
  71100      1.21e-04      1.21e-04    3.2e-07
  71200      1.21e-04      1.21e-04    3.2e-07
  71300      1.21e-04      1.21e-04    3.2e-07
  71400      1.21e-04      1.21e-04    3.2e-07
  71500      1.21e-04      1.21e-04    3.2e-07
  71600      1.21e-04      1.21e-04    3.2e-07
  71700      1.21e-04      1.21e-04    3.2e-07
  71800      1.21e-04      1.21e-04    3.2e-07
  71900      1.21e-04      1.21e-04    3.2e-07
  72000      1.21e-04      1.21e-04    3.2e-07
  72100      1.21e-04      1.21e-04    3.2e-07
  72200      1.21e-04      1.21e-04    3.2e-07
  72300      1.21e-04      1.21e-04    3.2e-07
  72400      1.21e-04      1.21e-04    3.2e-07
  72500      1.21e-04      1.21e-04    3.2e-07
  72600      1.21e-04      1.21e-04    3.2e-07
  72700      1.21e-04      1.21e-04    3.2e-07
  72800      1.21e-04      1.21e-04    3.2e-07
  72900      1.21e-04      1.21e-04    3.2e-07
  73000      1.21e-04      1.21e-04    3.2e-07
  73100      1.21e-04      1.21e-04    3.2e-07
  73200      1.21e-04      1.21e-04    3.2e-07
  73300      1.21e-04      1.21e-04    3.2e-07
  73400      1.21e-04      1.21e-04    3.2e-07
  73500      1.21e-04      1.21e-04    3.2e-07
  73600      1.21e-04      1.21e-04    3.2e-07
  73700      1.21e-04      1.21e-04    3.2e-07
  73800      1.21e-04      1.21e-04    3.2e-07
  73900      1.21e-04      1.21e-04    3.2e-07
  74000      1.21e-04      1.21e-04    3.2e-07
  74100      1.21e-04      1.21e-04    3.2e-07
  74200      1.21e-04      1.21e-04    3.2e-07
  74300      1.21e-04      1.21e-04    3.2e-07
  74400      1.21e-04      1.21e-04    3.2e-07
  74500      1.21e-04      1.21e-04    3.2e-07
  74600      1.21e-04      1.21e-04    3.2e-07
  74700      1.21e-04      1.21e-04    3.2e-07
  74800      1.21e-04      1.21e-04    3.2e-07
  74900      1.21e-04      1.21e-04    3.2e-07
  75000      1.21e-04      1.21e-04    1.8e-07
  75100      1.21e-04      1.21e-04    1.8e-07
  75200      1.21e-04      1.21e-04    1.8e-07
  75300      1.21e-04      1.21e-04    1.8e-07
  75400      1.21e-04      1.21e-04    1.8e-07
  75500      1.21e-04      1.21e-04    1.8e-07
  75600      1.21e-04      1.21e-04    1.8e-07
  75700      1.21e-04      1.21e-04    1.8e-07
  75800      1.21e-04      1.21e-04    1.8e-07
  75900      1.21e-04      1.21e-04    1.8e-07
  76000      1.21e-04      1.21e-04    1.8e-07
  76100      1.21e-04      1.21e-04    1.8e-07
  76200      1.21e-04      1.21e-04    1.8e-07
  76300      1.21e-04      1.21e-04    1.8e-07
  76400      1.21e-04      1.21e-04    1.8e-07
  76500      1.21e-04      1.21e-04    1.8e-07
  76600      1.21e-04      1.21e-04    1.8e-07
  76700      1.21e-04      1.21e-04    1.8e-07
  76800      1.21e-04      1.21e-04    1.8e-07
  76900      1.21e-04      1.21e-04    1.8e-07
  77000      1.21e-04      1.21e-04    1.8e-07
  77100      1.21e-04      1.21e-04    1.8e-07
  77200      1.21e-04      1.21e-04    1.8e-07
  77300      1.21e-04      1.21e-04    1.8e-07
  77400      1.21e-04      1.21e-04    1.8e-07
  77500      1.21e-04      1.21e-04    1.8e-07
  77600      1.21e-04      1.21e-04    1.8e-07
  77700      1.21e-04      1.21e-04    1.8e-07
  77800      1.21e-04      1.21e-04    1.8e-07
  77900      1.21e-04      1.21e-04    1.8e-07
  78000      1.21e-04      1.21e-04    1.8e-07
  78100      1.21e-04      1.21e-04    1.8e-07
  78200      1.21e-04      1.21e-04    1.8e-07
  78300      1.21e-04      1.21e-04    1.8e-07
  78400      1.21e-04      1.21e-04    1.8e-07
  78500      1.21e-04      1.21e-04    1.8e-07
  78600      1.21e-04      1.21e-04    1.8e-07
  78700      1.21e-04      1.21e-04    1.8e-07
  78800      1.21e-04      1.21e-04    1.8e-07
  78900      1.21e-04      1.21e-04    1.8e-07
  79000      1.21e-04      1.21e-04    1.8e-07
  79100      1.21e-04      1.21e-04    1.8e-07
  79200      1.21e-04      1.21e-04    1.8e-07
  79300      1.21e-04      1.21e-04    1.8e-07
  79400      1.21e-04      1.21e-04    1.8e-07
  79500      1.21e-04      1.21e-04    1.8e-07
  79600      1.21e-04      1.21e-04    1.8e-07
  79700      1.21e-04      1.21e-04    1.8e-07
  79800      1.21e-04      1.21e-04    1.8e-07
  79900      1.21e-04      1.21e-04    1.8e-07
  80000      1.21e-04      1.21e-04    1.0e-07
  80100      1.21e-04      1.21e-04    1.0e-07
  80200      1.21e-04      1.21e-04    1.0e-07
  80300      1.21e-04      1.21e-04    1.0e-07
  80400      1.21e-04      1.21e-04    1.0e-07
  80500      1.21e-04      1.21e-04    1.0e-07
  80600      1.21e-04      1.21e-04    1.0e-07
  80700      1.21e-04      1.21e-04    1.0e-07
  80800      1.21e-04      1.21e-04    1.0e-07
  80900      1.21e-04      1.21e-04    1.0e-07
  81000      1.21e-04      1.21e-04    1.0e-07
  81100      1.21e-04      1.21e-04    1.0e-07
  81200      1.21e-04      1.21e-04    1.0e-07
  81300      1.21e-04      1.21e-04    1.0e-07
  81400      1.21e-04      1.21e-04    1.0e-07
  81500      1.21e-04      1.21e-04    1.0e-07
  81600      1.21e-04      1.21e-04    1.0e-07
  81700      1.21e-04      1.21e-04    1.0e-07
  81800      1.21e-04      1.21e-04    1.0e-07
  81900      1.21e-04      1.21e-04    1.0e-07
  82000      1.21e-04      1.21e-04    1.0e-07
  82100      1.21e-04      1.21e-04    1.0e-07
  82200      1.21e-04      1.21e-04    1.0e-07
  82300      1.21e-04      1.21e-04    1.0e-07
  82400      1.21e-04      1.21e-04    1.0e-07
  82500      1.21e-04      1.21e-04    1.0e-07
  82600      1.21e-04      1.21e-04    1.0e-07
  82700      1.21e-04      1.21e-04    1.0e-07
  82800      1.21e-04      1.21e-04    1.0e-07
  82900      1.21e-04      1.21e-04    1.0e-07
  83000      1.21e-04      1.21e-04    1.0e-07
  83100      1.21e-04      1.21e-04    1.0e-07
  83200      1.21e-04      1.21e-04    1.0e-07
  83300      1.21e-04      1.21e-04    1.0e-07
  83400      1.21e-04      1.21e-04    1.0e-07
  83500      1.21e-04      1.21e-04    1.0e-07
  83600      1.21e-04      1.21e-04    1.0e-07
  83700      1.21e-04      1.21e-04    1.0e-07
  83800      1.21e-04      1.21e-04    1.0e-07
  83900      1.21e-04      1.21e-04    1.0e-07
  84000      1.21e-04      1.21e-04    1.0e-07
  84100      1.21e-04      1.21e-04    1.0e-07
  84200      1.21e-04      1.21e-04    1.0e-07
  84300      1.21e-04      1.21e-04    1.0e-07
  84400      1.21e-04      1.21e-04    1.0e-07
  84500      1.21e-04      1.21e-04    1.0e-07
  84600      1.21e-04      1.21e-04    1.0e-07
  84700      1.21e-04      1.21e-04    1.0e-07
  84800      1.21e-04      1.21e-04    1.0e-07
  84900      1.21e-04      1.21e-04    1.0e-07
  85000      1.21e-04      1.21e-04    5.6e-08
  85100      1.21e-04      1.21e-04    5.6e-08
  85200      1.21e-04      1.21e-04    5.6e-08
  85300      1.21e-04      1.21e-04    5.6e-08
  85400      1.21e-04      1.21e-04    5.6e-08
  85500      1.21e-04      1.21e-04    5.6e-08
  85600      1.21e-04      1.21e-04    5.6e-08
  85700      1.21e-04      1.21e-04    5.6e-08
  85800      1.21e-04      1.21e-04    5.6e-08
  85900      1.21e-04      1.21e-04    5.6e-08
  86000      1.21e-04      1.21e-04    5.6e-08
  86100      1.21e-04      1.21e-04    5.6e-08
  86200      1.21e-04      1.21e-04    5.6e-08
  86300      1.21e-04      1.21e-04    5.6e-08
  86400      1.21e-04      1.21e-04    5.6e-08
  86500      1.21e-04      1.21e-04    5.6e-08
  86600      1.21e-04      1.21e-04    5.6e-08
  86700      1.21e-04      1.21e-04    5.6e-08
  86800      1.21e-04      1.21e-04    5.6e-08
  86900      1.21e-04      1.21e-04    5.6e-08
  87000      1.21e-04      1.21e-04    5.6e-08
  87100      1.21e-04      1.21e-04    5.6e-08
  87200      1.21e-04      1.21e-04    5.6e-08
  87300      1.21e-04      1.21e-04    5.6e-08
  87400      1.21e-04      1.21e-04    5.6e-08
  87500      1.21e-04      1.21e-04    5.6e-08
  87600      1.21e-04      1.21e-04    5.6e-08
  87700      1.21e-04      1.21e-04    5.6e-08
  87800      1.21e-04      1.21e-04    5.6e-08
  87900      1.21e-04      1.21e-04    5.6e-08
  88000      1.21e-04      1.21e-04    5.6e-08
  88100      1.21e-04      1.21e-04    5.6e-08
  88200      1.21e-04      1.21e-04    5.6e-08
  88300      1.21e-04      1.21e-04    5.6e-08
  88400      1.21e-04      1.21e-04    5.6e-08
  88500      1.21e-04      1.21e-04    5.6e-08
  88600      1.21e-04      1.21e-04    5.6e-08
  88700      1.21e-04      1.21e-04    5.6e-08
  88800      1.21e-04      1.21e-04    5.6e-08
  88900      1.21e-04      1.21e-04    5.6e-08
  89000      1.21e-04      1.21e-04    5.6e-08
  89100      1.21e-04      1.21e-04    5.6e-08
  89200      1.21e-04      1.21e-04    5.6e-08
  89300      1.21e-04      1.21e-04    5.6e-08
  89400      1.21e-04      1.21e-04    5.6e-08
  89500      1.21e-04      1.21e-04    5.6e-08
  89600      1.21e-04      1.21e-04    5.6e-08
  89700      1.21e-04      1.21e-04    5.6e-08
  89800      1.21e-04      1.21e-04    5.6e-08
  89900      1.21e-04      1.21e-04    5.6e-08
  90000      1.21e-04      1.21e-04    3.2e-08
  90100      1.21e-04      1.21e-04    3.2e-08
  90200      1.21e-04      1.21e-04    3.2e-08
  90300      1.21e-04      1.21e-04    3.2e-08
  90400      1.21e-04      1.21e-04    3.2e-08
  90500      1.21e-04      1.21e-04    3.2e-08
  90600      1.21e-04      1.21e-04    3.2e-08
  90700      1.21e-04      1.21e-04    3.2e-08
  90800      1.21e-04      1.21e-04    3.2e-08
  90900      1.21e-04      1.21e-04    3.2e-08
  91000      1.21e-04      1.21e-04    3.2e-08
  91100      1.21e-04      1.21e-04    3.2e-08
  91200      1.21e-04      1.21e-04    3.2e-08
  91300      1.21e-04      1.21e-04    3.2e-08
  91400      1.21e-04      1.21e-04    3.2e-08
  91500      1.21e-04      1.21e-04    3.2e-08
  91600      1.21e-04      1.21e-04    3.2e-08
  91700      1.21e-04      1.21e-04    3.2e-08
  91800      1.21e-04      1.21e-04    3.2e-08
  91900      1.21e-04      1.21e-04    3.2e-08
  92000      1.21e-04      1.21e-04    3.2e-08
  92100      1.21e-04      1.21e-04    3.2e-08
  92200      1.21e-04      1.21e-04    3.2e-08
  92300      1.21e-04      1.21e-04    3.2e-08
  92400      1.21e-04      1.21e-04    3.2e-08
  92500      1.21e-04      1.21e-04    3.2e-08
  92600      1.21e-04      1.21e-04    3.2e-08
  92700      1.21e-04      1.21e-04    3.2e-08
  92800      1.21e-04      1.21e-04    3.2e-08
  92900      1.21e-04      1.21e-04    3.2e-08
  93000      1.21e-04      1.21e-04    3.2e-08
  93100      1.21e-04      1.21e-04    3.2e-08
  93200      1.21e-04      1.21e-04    3.2e-08
  93300      1.21e-04      1.21e-04    3.2e-08
  93400      1.21e-04      1.21e-04    3.2e-08
  93500      1.21e-04      1.21e-04    3.2e-08
  93600      1.21e-04      1.21e-04    3.2e-08
  93700      1.21e-04      1.21e-04    3.2e-08
  93800      1.21e-04      1.21e-04    3.2e-08
  93900      1.21e-04      1.21e-04    3.2e-08
  94000      1.21e-04      1.21e-04    3.2e-08
  94100      1.21e-04      1.21e-04    3.2e-08
  94200      1.21e-04      1.21e-04    3.2e-08
  94300      1.21e-04      1.21e-04    3.2e-08
  94400      1.21e-04      1.21e-04    3.2e-08
  94500      1.21e-04      1.21e-04    3.2e-08
  94600      1.21e-04      1.21e-04    3.2e-08
  94700      1.21e-04      1.21e-04    3.2e-08
  94800      1.21e-04      1.21e-04    3.2e-08
  94900      1.21e-04      1.21e-04    3.2e-08
  95000      1.21e-04      1.21e-04    1.8e-08
  95100      1.21e-04      1.21e-04    1.8e-08
  95200      1.21e-04      1.21e-04    1.8e-08
  95300      1.21e-04      1.21e-04    1.8e-08
  95400      1.21e-04      1.21e-04    1.8e-08
  95500      1.21e-04      1.21e-04    1.8e-08
  95600      1.21e-04      1.21e-04    1.8e-08
  95700      1.21e-04      1.21e-04    1.8e-08
  95800      1.21e-04      1.21e-04    1.8e-08
  95900      1.21e-04      1.21e-04    1.8e-08
  96000      1.21e-04      1.21e-04    1.8e-08
  96100      1.21e-04      1.21e-04    1.8e-08
  96200      1.21e-04      1.21e-04    1.8e-08
  96300      1.21e-04      1.21e-04    1.8e-08
  96400      1.21e-04      1.21e-04    1.8e-08
  96500      1.21e-04      1.21e-04    1.8e-08
  96600      1.21e-04      1.21e-04    1.8e-08
  96700      1.21e-04      1.21e-04    1.8e-08
  96800      1.21e-04      1.21e-04    1.8e-08
  96900      1.21e-04      1.21e-04    1.8e-08
  97000      1.21e-04      1.21e-04    1.8e-08
  97100      1.21e-04      1.21e-04    1.8e-08
  97200      1.21e-04      1.21e-04    1.8e-08
  97300      1.21e-04      1.21e-04    1.8e-08
  97400      1.21e-04      1.21e-04    1.8e-08
  97500      1.21e-04      1.21e-04    1.8e-08
  97600      1.21e-04      1.21e-04    1.8e-08
  97700      1.21e-04      1.21e-04    1.8e-08
  97800      1.21e-04      1.21e-04    1.8e-08
  97900      1.21e-04      1.21e-04    1.8e-08
  98000      1.21e-04      1.21e-04    1.8e-08
  98100      1.21e-04      1.21e-04    1.8e-08
  98200      1.21e-04      1.21e-04    1.8e-08
  98300      1.21e-04      1.21e-04    1.8e-08
  98400      1.21e-04      1.21e-04    1.8e-08
  98500      1.21e-04      1.21e-04    1.8e-08
  98600      1.21e-04      1.21e-04    1.8e-08
  98700      1.21e-04      1.21e-04    1.8e-08
  98800      1.21e-04      1.21e-04    1.8e-08
  98900      1.21e-04      1.21e-04    1.8e-08
  99000      1.21e-04      1.21e-04    1.8e-08
  99100      1.21e-04      1.21e-04    1.8e-08
  99200      1.21e-04      1.21e-04    1.8e-08
  99300      1.21e-04      1.21e-04    1.8e-08
  99400      1.21e-04      1.21e-04    1.8e-08
  99500      1.21e-04      1.21e-04    1.8e-08
  99600      1.21e-04      1.21e-04    1.8e-08
  99700      1.21e-04      1.21e-04    1.8e-08
  99800      1.21e-04      1.21e-04    1.8e-08
  99900      1.21e-04      1.21e-04    1.8e-08
 100000      1.21e-04      1.21e-04    1.0e-08
